activityId,activityDescription,discipline,plannedStart,plannedEnd
CIV-101,Excavation for foundation zone A,Civil,2026-09-01,2026-09-03
CIV-102,Reinforcement fixing for foundation zone A,Civil,2026-09-04,2026-09-06
CIV-103,Concrete pouring for foundation zone A,Civil,2026-09-07,2026-09-08
CIV-104,Foundation curing zone A,Civil,2026-09-09,2026-09-12
CIV-105,Backfilling around foundation zone A,Civil,2026-09-13,2026-09-15
CIV-106,Column reinforcement fixing block B,Civil,2026-09-10,2026-09-12
CIV-107,Column shuttering block B,Civil,2026-09-13,2026-09-15
CIV-108,Column concrete casting block B,Civil,2026-09-16,2026-09-17
CIV-109,Structural steel erection building C,Civil,2026-09-18,2026-09-23
CIV-110,Floor slab reinforcement building C,Civil,2026-09-20,2026-09-22
PIP-201,Erect Line 24-XX,Piping,2026-09-05,2026-09-07
PIP-202,Spool welding Line 24-XX,Piping,2026-09-08,2026-09-10
PIP-203,Install pipe supports Line 24-XX,Piping,2026-09-06,2026-09-09
PIP-204,Hydrotest Line 24-XX,Piping,2026-09-11,2026-09-12
PIP-205,Insulation Line 24-XX,Piping,2026-09-13,2026-09-16
PIP-206,Erect Line 25-YY,Piping,2026-09-10,2026-09-12
PIP-207,Spool welding Line 25-YY,Piping,2026-09-13,2026-09-15
PIP-208,Hydrotest Line 25-YY,Piping,2026-09-16,2026-09-17
PIP-209,Valve installation Line 25-YY,Piping,2026-09-18,2026-09-20
PIP-210,Flushing Line 25-YY,Piping,2026-09-21,2026-09-22
ELE-301,Cable tray installation area A,Electrical,2026-09-05,2026-09-08
ELE-302,Power cable pulling area A,Electrical,2026-09-09,2026-09-11
ELE-303,Cable termination panel A,Electrical,2026-09-12,2026-09-14
ELE-304,Electrical panel installation room B,Electrical,2026-09-10,2026-09-12
ELE-305,Panel wiring and testing room B,Electrical,2026-09-13,2026-09-16
ELE-306,Lighting fixture installation building C,Electrical,2026-09-17,2026-09-20
ELE-307,Earthing installation area A,Electrical,2026-09-07,2026-09-09
ELE-308,Transformer installation substation,Electrical,2026-09-14,2026-09-16
ELE-309,Motor cable termination pump house,Electrical,2026-09-18,2026-09-20
ELE-310,Energization test substation,Electrical,2026-09-21,2026-09-22
